id,session_id,goal_id,mistake,why_wrong,cost_estimate,root_cause_vector,prevention,created_timestamp,mistake_data
a539cba9-76eb-4819-ad32-13abd5e48683,3247538d-f8a0-4715-8b90-80141669b0e1,,Created pages without checking design system first,"Design system uses glassmorphic glass-card/glass-panel, NOT gradients",2 hours,KNOW,ALWAYS view reference implementation (index.astro) BEFORE creating pages,1765288843.5704222,"{""mistake"": ""Created pages without checking design system first"", ""why_wrong"": ""Design system uses glassmorphic glass-card/glass-panel, NOT gradients"", ""cost_estimate"": ""2 hours"", ""root_cause_vector"": ""KNOW"", ""prevention"": ""ALWAYS view reference implementation (index.astro) BEFORE creating pages""}"
c3012ede-ecf3-4e03-8289-5b06c78a94a9,35b7b739-a62e-4d17-8d29-b7c800ad1f28,,Started new PREFLIGHT when user gave continuation instructions,"User said 'lets continue' and gave refinement guidance (adjust token claims to 75%+), not 'investigate this problem'. Misread continuation as problem signal",10 minutes discussion,"CLARITY:0.4,CONTEXT:0.5,SIGNAL:0.3","Check goals status, distinguish 'continue + adjust X' from 'fix broken Y', query mistakes before assuming problems",1765304488.684438,"{""mistake"": ""Started new PREFLIGHT when user gave continuation instructions"", ""why_wrong"": ""User said 'lets continue' and gave refinement guidance (adjust token claims to 75%+), not 'investigate this problem'. Misread continuation as problem signal"", ""cost_estimate"": ""10 minutes discussion"", ""root_cause_vector"": ""CLARITY:0.4,CONTEXT:0.5,SIGNAL:0.3"", ""prevention"": ""Check goals status, distinguish 'continue + adjust X' from 'fix broken Y', query mistakes before assuming problems""}"
593737c5-6b12-4c79-963b-f1d618f5923e,d49d8540-acb5-4183-941b-44f9e945aba2,f366e3be-4e6a-47fb-afe6-4e05b0c31d79,Restarted PREFLIGHT assessment mid-workflow when user gave continuation instructions with refinements,"User said 'the integration hub is great, but needs sub pages...' - this was continuation guidance (do X then Y), NOT a signal that work was broken. I misinterpreted refinement instructions as investigation trigger.",~5 minutes confusion + epistemic doubt loop,CONTEXT,"Before starting new PREFLIGHT: 1) Check goals-get-subtasks for completion status, 2) Query handoff for what's done, 3) If user gives specific next steps, continue working with adjustments, 4) Pattern: 'X is great, but needs Y' = refinement, NOT 'X is broken, investigate'",1765305419.7222478,"{""mistake"": ""Restarted PREFLIGHT assessment mid-workflow when user gave continuation instructions with refinements"", ""why_wrong"": ""User said 'the integration hub is great, but needs sub pages...' - this was continuation guidance (do X then Y), NOT a signal that work was broken. I misinterpreted refinement instructions as investigation trigger."", ""cost_estimate"": ""~5 minutes confusion + epistemic doubt loop"", ""root_cause_vector"": ""CONTEXT"", ""prevention"": ""Before starting new PREFLIGHT: 1) Check goals-get-subtasks for completion status, 2) Query handoff for what's done, 3) If user gives specific next steps, continue working with adjustments, 4) Pattern: 'X is great, but needs Y' = refinement, NOT 'X is broken, investigate'""}"
3359d0dc-39b1-4259-bd1d-1be92c2baafd,3247538d-f8a0-4715-8b90-80141669b0e1,13dc4f2a-e30c-460e-a982-b6dd31502338,Almost expanded scope to project-level tracking without investigation,"High uncertainty (0.5) about design, haven't examined empirica-chat/empirica-web structure, rushing to implement would cause rework",Would have been 2-3 hours of rework,UNCERTAINTY,"Follow CASCADE: When UNCERTAINTY > 0.4, investigate before implementing. User correctly challenged scope expansion - create new goal, PREFLIGHT, investigate structure, then prototype.",1765306015.0817041,"{""mistake"": ""Almost expanded scope to project-level tracking without investigation"", ""why_wrong"": ""High uncertainty (0.5) about design, haven't examined empirica-chat/empirica-web structure, rushing to implement would cause rework"", ""cost_estimate"": ""Would have been 2-3 hours of rework"", ""root_cause_vector"": ""UNCERTAINTY"", ""prevention"": ""Follow CASCADE: When UNCERTAINTY > 0.4, investigate before implementing. User correctly challenged scope expansion - create new goal, PREFLIGHT, investigate structure, then prototype.""}"
a474a090-8b1c-44ce-bee1-f253b37bb3f1,c65c9a1c-640d-4c29-b933-3e853822f1dd,,"Skipped PREFLIGHT assessment for iteration 8 session. Went directly to work without epistemic baseline, resulting in 'No PREFLIGHT checkpoint found' warning. Cannot calculate learning deltas or calibration accuracy for this session.","CASCADE workflow requires PREFLIGHT → Work → POSTFLIGHT. Skipping PREFLIGHT means: (1) No learning measurement (can't calculate deltas), (2) No calibration score (can't compare predicted vs actual), (3) Incomplete epistemic record. The framework correctly flagged this violation.",0.15,engagement,"Always start new sessions with PREFLIGHT assessment, even for 'quick' tasks. The 30 seconds to assess baseline saves confusion later and enables proper learning measurement. Could add CLI reminder: 'No PREFLIGHT detected - create one now? [y/n]'",1766068238.7190552,"{""mistake"": ""Skipped PREFLIGHT assessment for iteration 8 session. Went directly to work without epistemic baseline, resulting in 'No PREFLIGHT checkpoint found' warning. Cannot calculate learning deltas or calibration accuracy for this session."", ""why_wrong"": ""CASCADE workflow requires PREFLIGHT \u2192 Work \u2192 POSTFLIGHT. Skipping PREFLIGHT means: (1) No learning measurement (can't calculate deltas), (2) No calibration score (can't compare predicted vs actual), (3) Incomplete epistemic record. The framework correctly flagged this violation."", ""cost_estimate"": ""0.15"", ""root_cause_vector"": ""engagement"", ""prevention"": ""Always start new sessions with PREFLIGHT assessment, even for 'quick' tasks. The 30 seconds to assess baseline saves confusion later and enables proper learning measurement. Could add CLI reminder: 'No PREFLIGHT detected - create one now? [y/n]'""}"
5ff7e22f-325a-45be-ae26-08936b863931,ec42a261-c99e-418c-b834-55115baafdd8,,"Used PREFLIGHT with wrong session ID. Created session ec42a261..., but submitted PREFLIGHT for ae05e53c.... Result: 'No PREFLIGHT checkpoint found' warning AGAIN. Did exact same type of workflow violation in two consecutive iterations.","Session IDs must match across CASCADE phases. Each session needs its own PREFLIGHT. Submitting PREFLIGHT for a different session means current session has no baseline, cannot calculate deltas. Framework correctly flagged this.",0.1,clarity,Always verify session ID matches after creation. Could add to cli_doc_validator: check for session ID consistency in examples. Add --verify-session-id flag that confirms session exists before accepting assessment.,1766069424.296124,"{""mistake"": ""Used PREFLIGHT with wrong session ID. Created session ec42a261..., but submitted PREFLIGHT for ae05e53c.... Result: 'No PREFLIGHT checkpoint found' warning AGAIN. Did exact same type of workflow violation in two consecutive iterations."", ""why_wrong"": ""Session IDs must match across CASCADE phases. Each session needs its own PREFLIGHT. Submitting PREFLIGHT for a different session means current session has no baseline, cannot calculate deltas. Framework correctly flagged this."", ""cost_estimate"": ""0.1"", ""root_cause_vector"": ""clarity"", ""prevention"": ""Always verify session ID matches after creation. Could add to cli_doc_validator: check for session ID consistency in examples. Add --verify-session-id flag that confirms session exists before accepting assessment.""}"
7f970a3a-abe5-4cc3-b999-48a775835b72,4b1841bf-cb51-49f4-820d-21f217776d7b,,Implemented memory-compact handler but forgot to add CLI parser and register command,Hooks couldn't call 'empirica memory-compact' because command doesn't exist in CLI,2 hours debugging hooks before discovering root cause,DO,When implementing new commands: 1) Create handler 2) Create parser 3) Register in cli_core.py 4) Add to help categories 5) Test CLI invocation,1766838816.3398886,"{""mistake"": ""Implemented memory-compact handler but forgot to add CLI parser and register command"", ""why_wrong"": ""Hooks couldn't call 'empirica memory-compact' because command doesn't exist in CLI"", ""cost_estimate"": ""2 hours debugging hooks before discovering root cause"", ""root_cause_vector"": ""DO"", ""prevention"": ""When implementing new commands: 1) Create handler 2) Create parser 3) Register in cli_core.py 4) Add to help categories 5) Test CLI invocation""}"
c7d1e469-c4b9-4b3a-b38d-02d9a4041fb6,104e3927-739c-4b2e-8d8e-961c4ce1fd4d,,Auto-capture system implemented but never integrated into CLI error handling - made this mistake previously,"AutoIssueCaptureService exists and gets initialized during session-create, but handle_cli_error() doesn't use it to capture errors automatically",Multiple sessions debugging CLI errors that could have been auto-captured and handed off,DO,When adding new infrastructure systems: 1) Implement core service 2) Integrate into ALL relevant call sites 3) Test integration 4) Verify auto-capture is working 5) Document in system prompt,1766845683.863007,"{""mistake"": ""Auto-capture system implemented but never integrated into CLI error handling - made this mistake previously"", ""why_wrong"": ""AutoIssueCaptureService exists and gets initialized during session-create, but handle_cli_error() doesn't use it to capture errors automatically"", ""cost_estimate"": ""Multiple sessions debugging CLI errors that could have been auto-captured and handed off"", ""root_cause_vector"": ""DO"", ""prevention"": ""When adding new infrastructure systems: 1) Implement core service 2) Integrate into ALL relevant call sites 3) Test integration 4) Verify auto-capture is working 5) Document in system prompt""}"
8df65962-d7cd-4945-9155-07b8dc17f78d,c5ebe086-e639-4b15-849f-cc516acc34f2,,Assumed epistemic middleware was integrated into tool execution path because it was initialized in server.py,It's initialized but never called - epistemic routing never happens in tool handlers,30 minutes to implement integration,,"Search for actual method calls, not just initialization",1767090936.4372969,"{""mistake"": ""Assumed epistemic middleware was integrated into tool execution path because it was initialized in server.py"", ""why_wrong"": ""It's initialized but never called - epistemic routing never happens in tool handlers"", ""cost_estimate"": ""30 minutes to implement integration"", ""root_cause_vector"": null, ""prevention"": ""Search for actual method calls, not just initialization""}"
30e8c35c-664e-4a23-8bcd-e53c8fe7622c,d53ec1b9-7532-4889-8f3c-0d7b213f52c1,,Stated 'MCP SERVER WORKS' but it actually FAILED to start with import error,Didn't verify the test result properly - said 'OPERATIONAL' when error was shown,15 minutes to debug and fix,SIGNAL,Always read error output carefully before declaring success,1767093766.3298867,"{""mistake"": ""Stated 'MCP SERVER WORKS' but it actually FAILED to start with import error"", ""why_wrong"": ""Didn't verify the test result properly - said 'OPERATIONAL' when error was shown"", ""cost_estimate"": ""15 minutes to debug and fix"", ""root_cause_vector"": ""SIGNAL"", ""prevention"": ""Always read error output carefully before declaring success""}"
b07b52c6-4913-4e48-8c2d-d6a989b7c2fa,6b57f32e-d9fb-4ad1-9311-3d43efb248cd,,Stated 'epistemics-show should be epistemics-show' when they are the same command. Confused myself and user.,"Misread my own output - both are 'epistemics-show', command exists and works",5 minutes confusion,SIGNAL,"Read error messages carefully, test commands before claiming they're broken",1767095162.4342952,"{""mistake"": ""Stated 'epistemics-show should be epistemics-show' when they are the same command. Confused myself and user."", ""why_wrong"": ""Misread my own output - both are 'epistemics-show', command exists and works"", ""cost_estimate"": ""5 minutes confusion"", ""root_cause_vector"": ""SIGNAL"", ""prevention"": ""Read error messages carefully, test commands before claiming they're broken""}"
